frame,face_r_mean,face_g_mean,face_b_mean,ref_r_mean,ref_g_mean,ref_b_mean
0,135.89268683799637,89.11370637633456,75.40247710680677,195.26546235354525,190.57655790505532,187.43236708210802
1,136.12136557370133,89.32301557159134,75.61655483816517,195.29068757877047,190.57371049806284,187.4208094104467
2,136.11528885512934,89.32288897328776,75.59564501835675,195.3045325117864,190.6138075899734,187.44201092283993
3,136.06524032577963,89.26893699624425,75.51789256023969,195.2987350044345,190.59688185594922,187.40815011903095
4,136.11549985230198,89.30105076591974,75.54158754272693,195.29148111842412,190.58827428464735,187.4652382952901
5,136.09524412372875,89.28706165337384,75.53814828881293,195.28154786911264,190.5957055501097,187.4868225738692
6,136.03711440266702,89.23559944296747,75.51398911254589,195.2956448676656,190.5951640759931,187.45321383559727
7,135.9673165379584,89.18417943199562,75.51059205806642,195.28491807870046,190.60163375811044,187.49232133688093
8,135.89378402329407,89.12339114655863,75.40657045195594,195.29654110068617,190.6148625309247,187.471213182094
9,135.88831919652276,89.14506055618855,75.36416002025572,195.26404331792932,190.5776968678523,187.40378098305558
10,135.8989534540237,89.1658859771279,75.38471114487066,195.27758950660504,190.57329972459507,187.41824207627317
11,135.9004093345149,89.19318901126725,75.40585306156898,195.29794146478085,190.55305045978622,187.40619894505906
12,136.03299995780057,89.36340043043423,75.58617124530531,195.3066330579284,190.56144330859357,187.38057228212668
13,136.11049921931047,89.44577372663207,75.67991728910833,195.3380945712552,190.58587499416515,187.3820473323064
14,136.13668396843482,89.45978393889521,75.6456724479892,195.32499649908976,190.60367828968865,187.4223311394296
15,136.14626324007259,89.43872642106595,75.64347807739377,195.31617420529338,190.60283807123184,187.43288988470334
16,136.1683335443305,89.4634130902646,75.62182976748112,195.29971525930074,190.61942771787332,187.5030948046492
17,136.2174536861206,89.52194370595434,75.67090770983668,195.32133688092236,190.61280866358587,187.47206273631144
18,136.0761699793223,89.33132886019327,75.49681394269317,195.23702562666293,190.56862250851887,187.34089529944453
19,136.27638519643835,89.53580622019665,75.65938726421066,195.25681743920086,190.53705830182514,187.35560845819913
20,136.28332700341815,89.54865594801029,75.66970502595265,195.24895672874948,190.54831722914625,187.36948139849693
21,136.23363716926193,89.54291682491454,75.60841034730134,195.235961349951,190.56527097045233,187.3774541380759
22,136.18122547157867,89.57273072540828,75.60807275182512,195.25878728469402,190.55665406338983,187.37496148998738
23,136.19550998016626,89.56682280457441,75.54380301303962,195.26642393689025,190.56068711198245,187.3306166269897
24,136.27790437608135,89.67525425159303,75.65309954846605,195.26588246277365,190.56048172524856,187.33147551696774
25,136.4207494619572,89.82596953200827,75.79704181963962,195.28125846053308,190.56606451010597,187.35237828502076
26,136.51780816137062,89.86513060724987,75.79866649786892,195.28317229146245,190.59048685991692,187.39869299351164
27,136.4082373296198,89.83383972654767,75.69418069797865,195.27245483825794,190.59381972646221,187.37296363721234
28,136.45875005274928,89.87899312149217,75.6994556272946,195.2849274144611,190.58843299257808,187.42588806423004
29,136.37637675655145,89.79761151200574,75.65890197071359,195.28705596788498,190.60365028240676,187.3868739205527
30,136.34149892391443,89.76773431236022,75.59644680761278,195.2942631750922,190.5802735377865,187.411464314055
31,136.3020002531966,89.6757395450901,75.57338481664345,195.27235214489102,190.61043738038558,187.49097698735005
32,136.17048571549142,89.55502806262396,75.46925771194665,195.27378051626755,190.62406759090698,187.5014983895813
33,136.14978689285564,89.51118285014981,75.371460522429,195.27996078980536,190.62461840078421,187.45631330812677
34,136.12444613242184,89.46516436679748,75.37745284213192,195.2840871960043,190.61503057461607,187.4616907062503
35,136.12826518124658,89.47404734776553,75.3712284255391,195.2775708350838,190.61792466041172,187.48415254632872
36,135.94341055829852,89.17215259315525,75.24861796851923,195.1567100779536,190.5655603790319,187.27111048872706
37,135.97573532514664,89.22329830780268,75.27950795459341,195.2189142510386,190.51513793586332,187.3126639592961
38,136.20004641937797,89.45499430307633,75.53272566147614,195.2584792045932,190.53499509872566,187.35570181580545
39,136.31225471578682,89.54135544583703,75.58598134784994,195.2384353265182,190.5536759557485,187.37146991551137
40,136.36002447567202,89.54705236949825,75.54709456893278,195.25684544648274,190.54424683751108,187.38437193670353
41,136.40690804743215,89.58395577499262,75.60518209055999,195.2692340008402,190.54256640059748,187.33600336087383
42,136.39108325948433,89.54460480229565,75.56614761362198,195.30230126499558,190.53496709144378,187.30944312187836
43,136.47881588386716,89.59442123475546,75.64909060218594,195.26534098865704,190.56500956915465,187.40407972739578
44,136.5293708064312,89.63727476051821,75.66341731020805,195.2914157680997,190.56106987816833,187.3613592867479
45,136.42049626535004,89.57224543191121,75.5454487909862,195.26352985109463,190.56753956028567,187.35192083274984
46,136.47944887538506,89.60902223910199,75.62204076465375,195.26784297250617,190.5789571955375,187.41885823647482
47,136.4434949571676,89.57762585981348,75.62822298181204,195.27559165383,190.57554964290716,187.427559165383
48,136.41222517618263,89.58349158121281,75.63341351225894,195.2728562759651,190.56638192596742,187.4205106661065
49,136.41456724479892,89.59446343418998,75.61617504325442,195.26905662138822,190.56762358213135,187.45282173365075
