frame,face_r_mean,face_g_mean,face_b_mean,ref_r_mean,ref_g_mean,ref_b_mean
270,185.05845706042308,139.7643206393382,126.14627669760375,196.64824437823813,191.01834530435653,190.58434759848188
271,185.02859659649437,139.55076534194635,126.40632699697437,196.59912084189781,190.88934309491367,190.63257042117985
272,185.10662445264327,139.57066806245294,126.44943891945718,196.58313894855155,190.9747415259783,190.4979560728885
273,185.072857489372,139.7143659598371,126.16642197852703,196.48880266672825,190.9843337413489,190.68197879858658
274,184.99249339342023,139.67791806564452,126.310860323499,196.44403642886286,191.0375605287266,190.6165808294264
275,184.99805951666644,139.72302153681173,126.32568204159273,196.40005542853183,190.9655419293748,190.43092604140205
276,184.92594247488222,139.72617482222876,126.39546284357407,196.24400871459696,191.03793005227217,190.67352594748147
277,185.04247360559677,139.78755537398987,126.13885945538803,196.2755567873007,190.99878365166248,190.38664480319022
278,185.055444204721,139.7909129208104,126.13809347512479,196.3270514330585,190.96977605333456,190.37440433574292
279,185.04728651491746,139.78169562497607,126.40460354138209,196.06495146154262,191.0837278767023,190.3099224770395
280,185.03422655142919,139.78598511445023,126.41807202767743,196.06632177802413,191.01444991031354,190.4397638128671
281,184.8784899975744,139.88809028354035,126.23848795496036,196.10514484553147,190.97203168664404,190.17781780949522
282,184.8469188443911,139.89052865404503,126.25514802568587,196.0667913808633,190.97623501697498,190.20935048538456
283,184.79771737881555,139.8338844135783,126.47808658130242,196.1454460072211,190.94037583623947,190.41726136862283
284,184.85539569263764,139.80870919559305,126.23668790134174,196.1836224085237,190.8952785668645,190.3919951961939
285,184.84139102015806,139.76215036192568,126.29746843522999,196.08543692310062,190.9537633663595,190.3919951961939
286,184.9294915167686,139.66744966871354,126.22496840331414,196.19975057160673,190.89966665896827,190.34050824884332
287,184.88069857400006,139.61150757682142,126.18855880813472,196.0805176409001,190.98087715651633,190.38909289667967
288,184.90434183145882,139.57993642363815,126.01904737587928,196.0014319037391,190.9586210613024,190.3680685466177
289,184.90892494670055,139.58834944019608,126.03257969386323,195.9142936326474,191.0118632454945,190.36431942231152
290,184.9015587698357,139.5792342750635,126.16271974058802,195.94926749655497,190.96641954779557,190.455114436823
291,185.07330431119226,139.6176609516028,126.09033460571166,195.9746260498703,190.9642639937797,190.41793882845639
292,185.09573476656752,139.54359066014732,126.23153030090258,196.00724420117479,190.93242338160235,190.43770063973764
293,184.87888575404375,139.65316413680407,126.12918257139575,196.0122789594833,190.96297835977737,190.40295772804606
294,184.88348163562318,139.66880290051193,126.1480895175601,195.97217795638082,190.9918396883685,190.44434436515084
295,185.02845616677945,139.63203584787632,126.46152864127868,196.18226748885655,190.97813652355327,190.71522052087423
296,185.12999961700987,139.6429893656407,126.42951066627516,196.21639452797217,190.93387838056307,190.69152482351402
297,185.1580855599954,139.70305498461656,126.26388020068683,196.32744405182567,190.93272361948314,190.43957905109434
298,185.20013787644737,139.69651861970357,126.37624950530441,196.49081195100734,190.88914293632646,190.45354396175432
299,185.0649551263229,139.87863042728932,126.1794819420153,196.63654279929483,190.845608443613,190.14667775237302
300,185.1017732443094,139.9435089555859,126.43237032592461,196.58968259467116,190.87451596264734,190.0705097115407
301,185.14620009957744,139.86051499406366,126.07464477665292,196.50639352717923,190.83295996058416,190.13135022363872
302,185.06546577983173,140.00583421633837,126.1624644138336,196.56122158325442,190.86393065274794,190.28532606603693
303,185.13232309047504,140.0631550727043,126.24852229640882,196.53881151989654,190.8391802736014,190.04526663433336
304,185.21197227151447,140.10325413948502,126.28662981450512,196.42811612277418,190.90332340238805,190.23951284479242
305,185.3119709948807,140.24736055967625,126.293217244769,196.6029315534616,190.92222299206296,190.03749124306182
306,185.32458413654874,140.35139344576223,126.44411535662765,196.68428832074645,191.03094759694218,190.14145053388455
307,185.35869579093844,140.28055303775005,126.46995442417433,196.42077954071303,190.9931484175924,190.02414220497778
308,185.32960130727298,140.2226576961867,126.29388109433047,196.41363541883183,191.00662832859882,189.88922761880568
309,185.2985152749231,140.0776448660173,126.44177911682476,196.3064350985781,190.94476392834324,190.00900713642346
310,185.34838059006012,139.99720417203918,126.29628116582197,196.20089763427947,190.9678206579059,190.07816192829702
311,185.8384036971314,140.48960181792648,126.68139050950454,197.21676405151774,191.88754936603615,190.9401910744667
312,186.00649806589985,140.63114220423586,126.85960858408548,197.171328052226,191.97207787708723,191.06301916133552
313,185.88994140250986,140.68528424250934,127.21326167162427,197.38626758123743,191.9311993348576,191.22972816924178
314,185.8512976982293,140.70873600490228,127.25785448928266,197.32493437107863,191.9712079570737,191.1472320376914
315,185.9211167992238,140.66522832595012,127.34480601549834,197.17441511351302,192.03465053080518,191.18057383927265
316,185.84541241654006,140.65809194316427,127.49220615082152,197.2996220082065,191.93547195085335,191.25958259236165
317,185.85408075985242,140.76165247475456,127.26073968160753,197.3750356051333,191.9809695374027,191.1764166993849
318,185.75917580523677,140.776167800743,127.26584621669582,197.4130426414775,191.92987520881928,191.17573154114413
319,185.89636287038337,140.8402548161009,127.24910954794399,197.3941430518026,191.9916164345597,191.0583616249798
320,185.8765750469163,140.89308192158916,127.26939525858216,197.4060447893331,191.98025358553315,190.95263170050117
321,185.887694527071,140.8763324864996,127.3081538599022,197.37100933816794,191.94655765722072,191.09816239020148
322,185.81038158583448,140.97072678760645,127.16979229168528,197.35050847979554,191.91320045882506,191.10066437254133
323,185.93711302038784,140.9297979088739,127.18872477052508,197.43194223115236,191.83629337090156,191.10218865716683
324,185.97476095032619,140.8871328082113,127.47047784402089,197.31160072980902,191.96707391240753,191.08122589436246
325,185.86002987323027,140.93347461413745,127.43349376364402,197.02461180781697,192.0240036336482,191.02692132997683
326,185.85254879932594,141.04778440208858,127.19061418850774,197.24456299991533,191.96901391102182,190.94612654641756
327,185.9300404692906,141.05553356908504,127.25102449860209,197.2685358399347,191.95501820673303,191.0669992378577
328,186.09434323575596,141.04186082138617,127.22588757963003,197.24981331362542,191.9671201028507,191.06098678183483
329,186.13398271437873,141.13361249058482,127.19084398258671,197.44675396660432,192.0088223746507,191.27003702933862
330,186.14337873894115,141.2508330035363,127.28634895507525,197.52898065390272,192.01391102180958,191.421125969037
331,186.08355568038198,141.26925482886725,127.3368270544229,197.61567241737686,192.0377914809426,191.41038669099365
332,186.00743000855346,141.25253092645312,127.2542416157077,197.56299221691032,192.00883007305788,191.48708592192276
333,186.23634321022328,141.12542926810585,127.33746537130894,197.59036775291193,191.85870343425944,191.20938897742056
